2025-07-18 00:22:27 | INFO     | main                      | ================================================================================
2025-07-18 00:22:27 | INFO     | main                      | STARTING NIR PHANTOM DATASET GENERATION PIPELINE
2025-07-18 00:22:27 | INFO     | main                      | ================================================================================
2025-07-18 00:22:27 | INFO     | main                      | Output directory: /Users/maxhart/Documents/MSc_AI_ML/Dissertation/gitlab/mah422/data
2025-07-18 00:22:27 | INFO     | main                      | Log file: ../logging.log
2025-07-18 00:22:27 | INFO     | main                      | Visualization mode: ENABLED (Development)
2025-07-18 00:22:27 | INFO     | main                      | Generating 5 phantom datasets for machine learning training
2025-07-18 00:22:27 | INFO     | main                      | Expected dataset size: 5 phantoms × 500 probes × 3 detectors = 7,500 tokens
2025-07-18 00:22:27 | INFO     | main                      | ============================================================
2025-07-18 00:22:27 | INFO     | main                      | GENERATING PHANTOM 01/5
2025-07-18 00:22:27 | INFO     | main                      | ============================================================
2025-07-18 00:22:27 | INFO     | main                      | Step 1/6: Constructing phantom geometry
2025-07-18 00:22:27 | INFO     | build_phantom_with_tissue_and_tumours | Embedding 1 tumor(s) with enhanced spatial constraints
2025-07-18 00:22:27 | INFO     | build_phantom_with_tissue_and_tumours | Successfully embedded 1/1 tumors in tissue
2025-07-18 00:22:27 | INFO     | build_phantom_with_tissue_and_tumours | Phantom construction completed - 34.0% tissue coverage
2025-07-18 00:22:27 | INFO     | main                      | Step 2/6: Generating finite element mesh
2025-07-18 00:22:27 | INFO     | mesh_volume               | Starting CGAL-based tetrahedral mesh generation (cell_size=1.65)
2025-07-18 00:22:30 | INFO     | mesh_volume               | ✓ Mesh generation completed - 40,989 tetrahedra, 7,586 nodes
2025-07-18 00:22:30 | INFO     | create_stndmesh           | Mesh statistics: 40989 tetrahedra, 7586 nodes
2025-07-18 00:22:30 | INFO     | create_stndmesh           | Element volume statistics: 1.030 ± 0.200 mm³
2025-07-18 00:22:30 | INFO     | main                      | Step 3/6: Assigning optical properties
2025-07-18 00:22:30 | INFO     | assign_optical_properties | Starting optical property assignment for 2 tissue regions
2025-07-18 00:22:30 | INFO     | assign_optical_properties | ✓ Optical properties assigned to mesh elements
2025-07-18 00:22:30 | INFO     | assign_optical_properties | ✓ Ground truth maps generated - shape (50, 50, 50, 2)
2025-07-18 00:22:30 | INFO     | main                      | Step 4/6: Generating realistic probe layout
2025-07-18 00:22:30 | INFO     | extract_realistic_patch_surface |   Extracting realistic 35x35mm surface patch for clinical imaging
2025-07-18 00:22:30 | INFO     | extract_realistic_patch_surface |   ✓ Generated 1501 surface points in realistic patch
2025-07-18 00:22:30 | INFO     | build_random_probe_layout | Starting probe layout generation - 500 probes (distance range: 10-40mm)
2025-07-18 00:22:30 | INFO     | build_random_probe_layout | ✓ Probe layout completed - 500/500 probes placed (1500 measurements)
2025-07-18 00:22:30 | INFO     | main                      | Step 5/6: Generating probe visualizations
2025-07-18 00:22:53 | INFO     | main                      | Generated INTERACTIVE 3D visualization for phantom 1 probe 1 (for professor demo)
2025-07-18 00:22:53 | INFO     | main                      | Step 6/6: Running frequency-domain simulation
2025-07-18 00:22:53 | INFO     | run_fd_simulation_and_save | Configuring mesh with source-detector optode layout
2025-07-18 00:22:54 | INFO     | run_fd_simulation_and_save | Starting FD simulation (frequency: 140.0 MHz)
